,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueEliteMonsters,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWardsPlaced,redWardsDestroyed,redFirstBlood,redEliteMonsters,redHeralds,redTowersDestroyed,redAvgLevel,redTotalMinionsKilled,redTotalJungleMinionsKilled
2196,0,12,2,1,10,8,0,0,0,7.4,230,49,26,0,0,2,1,0,7.2,217,56
2197,1,14,2,1,3,9,1,0,0,6.4,200,47,17,2,0,0,0,0,6.8,205,47
2198,1,20,2,0,8,12,2,1,0,7.2,226,54,18,4,1,0,0,0,7.2,223,34
2199,1,15,4,1,12,5,2,1,1,7.0,218,60,16,0,0,0,0,0,6.6,217,43
2200,1,38,4,1,9,3,0,0,1,7.6,237,59,20,5,0,0,0,0,6.8,234,58
2201,0,16,3,1,5,7,0,0,0,6.6,222,51,15,1,0,1,0,0,7.2,215,56
2202,1,34,5,1,12,5,0,0,0,7.8,237,56,14,0,0,0,0,0,7.2,182,68
2203,0,18,1,0,2,5,0,0,0,6.8,241,56,13,5,1,0,0,0,7.0,250,57
2204,0,16,1,1,6,6,0,0,0,7.2,220,44,12,2,0,1,0,0,7.4,242,64
2205,0,14,2,0,2,5,1,1,0,7.0,233,54,86,3,1,0,0,0,6.6,209,52
2206,1,86,3,0,4,5,0,0,0,6.6,227,46,17,0,1,2,1,0,6.8,225,56
2207,0,16,0,0,1,10,1,1,0,6.6,207,60,16,2,1,1,0,0,7.8,250,60
2208,1,21,6,0,7,4,0,0,0,7.0,226,35,48,7,1,1,0,0,6.8,230,56
2209,1,44,5,0,5,2,1,0,0,6.8,248,53,16,4,1,0,0,0,6.8,230,71
2210,0,13,5,0,4,9,0,0,0,6.8,214,56,16,7,1,1,0,0,7.4,212,59
2211,1,14,4,1,8,5,1,0,0,7.0,214,54,16,3,0,0,0,0,6.6,239,48
2212,1,15,5,1,5,4,1,1,0,7.4,246,60,17,3,0,1,0,0,7.0,230,40
2213,0,13,6,1,2,5,1,0,0,7.0,211,63,39,2,0,0,0,0,6.8,242,55
2214,1,12,4,0,9,2,1,0,0,7.0,256,56,18,2,1,0,0,0,6.6,193,47
2215,0,14,7,0,1,2,0,0,0,7.0,262,52,15,1,1,1,0,0,7.0,232,67
2216,0,17,1,0,6,6,0,0,0,7.2,245,72,19,4,1,2,1,0,7.2,224,52
2217,0,15,1,1,10,8,0,0,0,7.4,194,52,14,2,0,0,0,0,7.0,211,52
2218,0,14,3,1,3,3,0,0,0,6.8,231,60,19,4,0,2,1,1,7.2,276,52
2219,0,18,1,0,3,7,0,0,0,6.8,223,42,12,3,1,1,0,0,7.2,240,52
2220,0,16,2,1,5,6,0,0,1,7.0,225,44,11,3,0,1,0,0,7.0,196,48
2221,1,15,2,0,6,4,0,0,0,7.2,239,57,12,2,1,1,0,0,7.0,219,58
2222,0,15,6,0,2,3,0,0,0,6.8,240,51,58,3,1,2,1,0,6.6,201,55
2223,0,39,7,1,6,6,0,0,0,6.8,240,28,17,3,0,1,0,0,7.0,230,53
2224,1,37,5,1,11,6,1,0,0,7.2,204,48,18,0,0,0,0,0,6.6,206,48
2225,0,25,1,1,3,6,0,0,0,6.6,209,51,15,1,0,1,0,0,7.0,220,64
2226,0,17,3,1,5,4,2,1,0,7.0,217,51,61,0,0,0,0,0,6.8,240,52
2227,0,15,1,0,4,9,1,0,0,6.6,192,68,16,1,1,0,0,0,7.2,218,26
2228,1,12,4,0,2,8,1,0,0,6.8,229,55,12,1,1,1,1,0,7.0,230,52
2229,1,16,2,1,8,3,2,1,0,6.8,221,52,45,1,0,0,0,0,6.6,190,52
2230,1,16,2,1,4,4,1,0,0,7.0,234,64,15,3,0,1,1,0,7.0,236,72
2231,0,19,8,0,5,4,1,0,0,7.0,241,49,22,2,1,0,0,0,6.6,205,43
2232,1,13,1,0,6,7,1,0,0,7.0,222,48,18,2,1,1,1,0,7.0,201,56
2233,0,15,1,1,2,13,0,0,0,6.2,202,52,17,2,0,1,0,0,7.0,253,48
2234,1,54,6,0,7,6,0,0,0,7.6,189,62,17,1,1,2,1,0,6.8,225,46
2235,1,15,2,1,10,2,0,0,0,7.4,201,60,22,2,0,0,0,0,6.6,176,49
2236,0,45,5,0,3,4,0,0,0,6.8,215,54,17,3,1,1,0,0,7.0,244,48
2237,1,16,3,1,7,4,1,0,0,7.0,262,48,19,3,0,0,0,0,6.6,197,51
2238,1,15,2,1,7,5,1,0,0,7.4,237,66,17,1,0,0,0,0,7.6,231,68
2239,1,10,1,1,8,7,1,0,0,7.0,246,55,15,0,0,1,1,0,6.8,216,36
2240,1,14,1,1,13,5,0,0,0,7.2,205,44,14,1,0,0,0,0,7.0,200,56
2241,1,22,5,0,3,2,1,1,0,7.2,253,60,13,2,1,1,0,0,6.6,169,60
2242,1,129,4,0,7,9,1,0,0,7.0,206,56,13,5,1,0,0,0,7.0,231,50
2243,1,14,3,1,5,2,1,0,0,7.2,216,56,55,1,0,0,0,0,7.0,211,72
2244,0,18,7,0,6,9,0,0,0,6.8,196,64,20,5,1,1,0,0,6.8,231,40
2245,1,14,0,1,12,4,1,1,2,7.6,226,44,13,1,0,1,0,0,6.6,172,37
2246,1,39,3,1,9,6,1,0,0,7.2,220,48,16,3,0,0,0,0,6.8,203,40
2247,1,16,4,1,7,6,0,0,0,6.8,206,60,57,2,0,0,0,0,6.8,229,36
2248,0,13,0,0,1,11,0,0,0,6.2,164,55,14,3,1,2,1,1,7.4,254,44
2249,1,18,2,1,2,4,1,0,0,7.2,227,65,22,2,0,0,0,0,6.8,247,65
2250,1,18,2,1,11,9,0,0,0,7.4,234,53,15,3,0,0,0,0,6.6,179,38
2251,0,14,2,1,7,4,2,1,0,7.0,231,48,16,0,0,0,0,0,6.8,226,42
2252,1,16,2,1,11,10,1,1,0,7.0,202,40,15,2,0,0,0,0,7.0,212,52
2253,0,20,2,1,6,8,0,0,0,7.0,207,62,14,4,0,1,0,0,7.0,211,36
2254,1,15,4,1,7,7,0,0,0,6.8,171,57,16,1,0,0,0,0,7.0,209,39
2255,0,16,2,1,5,7,0,0,0,7.0,225,63,15,1,0,2,1,0,7.0,197,60
2256,1,13,4,1,8,4,0,0,0,7.0,206,64,17,1,0,1,0,0,6.8,227,55
2257,1,14,0,1,10,8,0,0,0,7.0,184,67,14,4,0,0,0,0,7.4,224,40
2258,1,11,1,0,5,8,2,1,0,7.2,230,68,13,1,1,0,0,0,7.0,239,52
2259,1,14,2,1,8,2,0,0,0,7.0,209,49,26,1,0,0,0,0,6.6,194,46
2260,0,75,2,1,8,5,1,0,0,7.2,198,54,15,1,0,0,0,0,7.0,229,52
2261,0,15,0,0,9,7,0,0,0,6.6,220,45,16,1,1,1,0,0,6.8,223,48
2262,0,19,2,1,7,9,0,0,0,6.6,210,40,18,2,0,1,0,0,6.8,170,64
2263,0,13,3,0,6,10,0,0,0,6.6,195,59,14,6,1,1,0,0,7.6,243,72
2264,0,15,2,0,5,5,0,0,0,7.0,234,44,49,2,1,1,0,0,6.8,222,47
2265,1,21,5,1,7,6,2,1,0,7.2,220,55,16,4,0,0,0,0,7.2,211,50
2266,0,16,3,1,6,7,0,0,0,7.0,199,48,37,4,0,1,0,0,7.2,235,60
2267,1,15,5,0,7,5,1,1,0,7.2,240,49,21,2,1,1,0,0,7.2,222,58
2268,1,19,1,0,4,2,0,0,0,6.8,234,44,18,2,1,1,0,0,6.6,250,45
2269,1,9,1,0,4,8,0,0,0,7.0,214,47,14,1,1,1,0,1,6.8,198,36
2270,1,14,1,0,5,3,1,1,1,7.4,241,46,12,2,1,1,0,0,7.0,223,44
2271,1,11,2,0,3,5,1,0,0,7.2,228,52,61,2,1,0,0,0,7.0,239,43
2272,0,14,3,0,4,9,0,0,0,6.6,192,36,17,2,1,2,1,1,7.2,249,56
2273,0,19,3,1,4,9,1,1,0,6.8,233,42,18,4,0,0,0,0,7.0,243,40
2274,0,14,3,0,3,10,0,0,0,6.4,212,36,15,2,1,2,1,0,7.2,235,54
2275,1,35,2,1,9,3,2,1,1,7.6,232,59,17,0,0,0,0,0,6.8,225,47
2276,1,17,2,1,7,3,1,0,0,7.2,225,72,16,5,0,0,0,0,6.8,220,57
2277,0,20,5,0,2,4,0,0,0,7.2,240,58,17,5,1,1,0,0,6.8,240,48
2278,0,15,2,1,8,6,1,1,0,7.0,218,60,52,3,0,1,0,0,7.2,235,75
2279,0,18,2,1,6,6,0,0,0,7.0,212,61,14,3,0,2,1,0,7.2,239,55
2280,0,11,2,0,5,7,0,0,0,6.6,213,51,19,1,1,2,1,0,6.8,223,60
2281,0,17,2,0,4,9,0,0,0,7.0,174,64,52,1,1,1,0,0,6.6,208,44
2282,1,17,3,1,8,5,2,1,0,7.0,240,51,13,3,0,0,0,0,6.8,209,45
2283,0,16,3,1,7,7,0,0,0,7.0,228,52,14,2,0,2,1,0,7.0,223,50
2284,0,21,2,1,11,11,0,0,0,6.8,222,48,18,2,0,0,0,0,7.0,212,40
2285,0,11,3,0,4,4,0,0,0,6.8,211,47,38,1,1,2,1,0,7.2,236,64
2286,0,14,4,0,3,11,1,0,0,6.6,182,56,16,4,1,0,0,0,7.4,227,44
2287,0,17,8,0,7,8,0,0,0,7.0,220,42,20,3,1,0,0,0,7.0,217,54
2288,0,11,0,1,5,9,0,0,0,6.8,174,44,9,0,0,1,0,0,7.6,213,55
2289,1,19,2,1,3,4,0,0,0,6.2,202,60,14,5,0,1,0,0,6.6,209,40
2290,0,12,4,0,5,5,0,0,0,7.0,203,52,89,4,1,2,1,0,6.6,204,54
2291,1,17,3,1,9,4,1,0,0,7.0,238,44,15,3,0,0,0,0,6.6,208,42
2292,0,10,2,1,6,7,0,0,0,6.8,205,56,14,1,0,1,1,0,6.6,230,45
2293,1,11,1,0,5,6,0,0,0,6.8,193,45,16,2,1,0,0,0,7.2,243,54
2294,0,14,5,0,3,8,0,0,0,7.2,220,60,21,1,1,2,1,1,7.4,260,44
2295,1,13,0,0,7,5,0,0,0,7.2,251,60,11,2,1,1,1,0,7.2,189,73
2296,1,14,1,1,4,5,1,0,0,7.4,214,64,12,2,0,0,0,0,6.8,238,44
2297,1,128,4,1,7,4,2,1,0,7.2,230,52,97,2,0,0,0,0,6.8,200,39
2298,1,15,1,1,10,8,2,1,0,7.2,222,44,14,0,0,0,0,0,7.4,215,56
2299,1,17,6,0,4,5,1,1,0,7.6,223,80,19,4,1,0,0,0,7.0,225,48
2300,1,138,2,1,3,3,1,0,0,6.8,223,52,15,2,0,0,0,0,7.2,253,47
2301,1,15,3,0,7,4,0,0,0,6.8,211,59,13,3,1,0,0,0,6.6,182,28
2302,0,14,1,0,7,9,0,0,1,7.2,221,40,12,3,1,1,0,0,6.8,202,51
2303,0,17,1,1,11,7,0,0,0,7.2,193,54,13,1,0,0,0,0,6.8,193,64
2304,0,14,1,1,6,7,0,0,0,6.8,213,44,36,2,0,1,0,0,7.0,201,71
2305,0,14,0,1,9,9,0,0,0,6.8,227,48,12,0,0,2,1,0,7.2,225,56
2306,0,11,4,1,3,8,1,1,0,7.2,214,72,14,0,0,1,0,0,7.2,251,56
2307,1,35,2,1,7,5,0,0,0,7.0,241,64,21,5,0,0,0,0,6.8,214,43
2308,0,12,2,0,9,11,0,0,0,6.8,226,36,15,1,1,1,0,0,7.0,237,43
2309,0,19,2,0,3,4,0,0,0,6.6,214,43,21,6,1,1,0,0,7.0,238,64
2310,0,9,3,0,5,6,0,0,1,7.0,253,56,11,1,1,1,0,0,6.8,166,67
2311,1,12,1,0,6,6,0,0,0,7.2,216,52,12,2,1,1,0,0,6.8,229,44
2312,0,13,1,1,5,7,0,0,0,6.8,191,56,16,3,0,1,0,0,7.2,222,66
2313,0,13,1,1,1,3,0,0,0,7.0,215,64,14,1,0,0,0,0,7.0,244,53
2314,0,17,4,0,8,7,0,0,0,6.8,179,28,19,5,1,1,1,1,7.0,204,55
2315,0,14,1,0,2,12,0,0,0,6.4,196,52,10,4,1,0,0,0,7.2,230,32
2316,1,15,2,0,9,2,0,0,0,7.2,232,48,17,1,1,1,1,0,6.4,197,44
2317,0,13,2,1,12,5,0,0,0,7.0,234,48,14,1,0,0,0,0,6.6,205,48
2318,1,39,3,1,6,7,1,0,0,6.8,223,44,17,4,0,0,0,0,6.6,205,55
2319,1,15,3,0,1,2,1,0,0,7.0,261,60,64,2,1,0,0,0,7.2,255,64
2320,0,13,4,0,2,7,0,0,0,6.8,212,58,15,1,1,2,1,0,7.2,239,55
2321,0,18,5,1,4,11,0,0,0,6.4,206,46,15,5,0,1,0,1,7.4,238,45
2322,0,17,1,0,7,6,1,1,0,7.0,206,56,21,5,1,1,0,0,6.8,242,56
2323,0,18,0,0,5,8,0,0,0,7.0,208,55,12,3,1,1,0,0,7.0,216,48
2324,0,17,0,0,3,8,0,0,0,6.4,184,44,16,4,1,2,1,0,7.0,234,52
2325,1,13,2,1,7,3,2,1,0,7.2,208,48,18,2,0,0,0,0,6.8,218,48
2326,0,164,3,0,4,11,0,0,0,6.6,227,38,11,9,1,1,0,0,7.0,174,56
2327,0,17,4,0,4,6,0,0,0,7.0,255,48,20,4,1,0,0,0,7.2,238,64
2328,1,47,3,0,9,3,1,1,0,7.4,203,41,88,1,1,1,0,0,6.6,202,46
2329,0,16,3,0,8,6,1,1,0,6.8,162,51,12,4,1,1,0,0,7.4,245,48
2330,1,14,3,1,7,4,1,0,0,7.4,233,57,16,2,0,0,0,0,6.8,212,41
2331,1,19,3,0,3,4,1,0,0,6.8,225,51,15,2,1,0,0,0,6.8,208,59
2332,1,17,0,0,2,5,0,0,0,6.8,243,52,16,2,1,2,1,0,7.2,248,72
2333,0,16,2,0,3,7,0,0,0,6.8,217,67,37,3,1,1,0,0,7.2,224,44
2334,1,17,5,0,6,5,0,0,0,7.0,230,44,16,2,1,0,0,0,6.8,204,64
2335,1,21,4,1,8,4,1,0,0,7.0,224,68,15,5,0,0,0,0,7.0,217,52
2336,1,81,2,0,4,7,1,0,0,7.0,195,62,47,5,1,0,0,0,6.8,237,53
2337,0,46,3,0,5,12,0,0,0,7.2,215,52,18,2,1,1,0,0,7.6,236,58
2338,1,14,6,0,5,6,1,1,0,6.6,221,47,19,5,1,1,0,0,6.8,185,44
2339,1,15,2,1,2,0,0,0,0,7.0,251,68,18,3,0,0,0,0,6.4,234,54
2340,1,39,2,1,9,6,0,0,0,6.8,193,50,15,1,0,0,0,0,6.2,170,33
2341,0,9,2,0,1,14,0,0,0,6.0,204,20,49,0,1,0,0,0,7.4,220,39
2342,1,11,3,0,9,8,2,1,0,7.2,216,60,37,1,1,0,0,0,6.8,178,28
2343,1,15,2,0,6,5,1,0,0,6.8,208,60,16,1,1,0,0,0,6.6,185,43
2344,1,17,4,1,8,8,0,0,0,6.2,185,36,16,8,0,1,1,0,6.8,231,40
2345,1,16,2,0,6,7,0,0,0,6.6,231,48,42,3,1,0,0,0,7.0,182,44
2346,0,16,5,0,1,2,1,1,0,7.0,220,63,20,5,1,1,0,0,6.8,259,48
2347,1,19,3,0,5,4,1,0,0,7.6,249,76,15,1,1,0,0,0,6.6,218,48
2348,0,13,2,1,9,6,1,0,0,6.8,198,44,14,1,0,0,0,0,7.2,224,55
2349,1,72,1,0,9,9,0,0,0,7.2,227,43,14,3,1,1,0,0,7.0,212,40
2350,0,13,1,0,11,11,0,0,0,7.0,213,50,9,3,1,1,0,0,7.2,216,54
2351,1,25,7,0,7,6,0,0,0,6.8,205,48,16,10,1,0,0,0,7.0,223,56
2352,0,17,3,1,5,5,0,0,0,6.8,226,53,19,5,0,0,0,0,6.8,205,51
2353,1,16,2,0,1,2,1,0,0,7.0,244,49,11,2,1,0,0,0,6.8,224,49
2354,1,11,2,0,6,6,0,0,0,7.2,231,56,15,1,1,2,1,0,7.0,239,54
2355,0,14,1,1,4,7,1,0,0,6.6,190,50,13,3,0,1,1,1,7.4,257,52
2356,0,18,2,0,4,5,0,0,0,7.2,241,64,12,4,1,1,0,0,7.4,259,59
2357,0,19,1,1,6,7,1,0,0,6.6,198,40,19,2,0,1,1,1,7.2,232,46
2358,1,14,3,0,6,11,0,0,0,6.8,232,55,15,2,1,1,0,0,6.8,219,55
2359,1,17,1,1,7,8,1,0,0,6.6,216,48,14,0,0,0,0,0,7.2,184,52
2360,1,34,5,1,13,9,2,1,0,7.2,215,64,13,5,0,0,0,0,7.2,212,44
2361,1,11,1,0,10,8,1,0,0,7.2,229,42,12,1,1,0,0,0,6.8,191,34
2362,1,15,3,1,10,8,1,0,0,7.0,212,48,26,0,0,0,0,0,6.8,196,45
2363,0,14,1,1,9,4,0,0,0,7.2,249,58,36,1,0,1,0,0,6.6,177,57
2364,0,16,2,1,2,11,1,0,0,6.4,193,56,17,2,0,0,0,1,7.2,245,40
2365,0,16,2,1,5,9,1,0,0,7.2,238,41,17,1,0,1,1,0,7.2,229,42
2366,1,17,1,1,11,7,1,0,0,6.8,202,51,14,2,0,0,0,0,6.6,214,36
2367,1,20,2,1,9,7,1,0,0,7.0,215,44,18,2,0,0,0,0,6.8,205,35
2368,0,38,1,1,5,2,2,1,0,7.2,246,56,146,14,0,0,0,0,6.6,220,45
2369,0,16,4,0,5,7,0,0,0,6.6,198,39,17,3,1,0,0,0,6.6,197,36
2370,1,16,4,0,7,9,0,0,0,7.2,239,42,40,1,1,2,1,0,7.0,209,56
2371,1,18,5,1,9,4,1,0,0,7.4,240,40,19,1,0,0,0,0,7.2,219,43
2372,0,44,3,0,5,9,0,0,0,7.0,231,46,15,4,1,1,0,0,7.4,233,56
2373,1,23,1,1,7,6,0,0,0,7.0,218,40,22,3,0,2,1,0,7.0,243,55
2374,0,10,3,0,8,11,1,0,0,6.6,189,39,18,2,1,1,1,0,7.2,209,53
2375,0,15,3,0,5,4,1,0,0,7.0,222,68,16,2,1,0,0,0,6.8,235,44
2376,0,22,6,0,1,5,0,0,0,6.8,252,68,29,3,1,0,0,0,7.2,238,55
2377,0,13,5,0,2,7,0,0,0,6.4,227,22,19,5,1,1,0,0,7.0,220,58
2378,0,35,4,0,7,5,0,0,0,7.2,217,56,66,2,1,0,0,0,7.0,214,60
2379,0,15,4,1,7,6,0,0,0,6.8,211,48,17,2,0,1,0,0,6.8,205,52
2380,1,20,2,0,3,3,1,1,1,7.2,238,78,19,9,1,1,0,0,6.8,252,69
2381,0,16,1,1,4,10,0,0,0,6.4,191,43,14,2,0,0,0,0,6.8,225,48
2382,1,39,1,0,7,5,1,0,0,7.0,220,48,16,1,1,0,0,0,7.0,222,48
2383,0,15,2,0,7,11,0,0,0,6.4,223,29,19,3,1,2,1,0,7.0,170,70
2384,1,16,4,1,6,3,0,0,0,6.8,216,77,19,2,0,1,0,0,6.4,233,40
2385,0,16,1,1,9,4,0,0,0,7.0,224,36,17,1,0,0,0,0,7.0,226,47
2386,1,110,0,0,6,10,0,0,0,6.8,216,45,40,1,1,1,0,0,7.4,228,55
2387,1,15,2,0,9,6,0,0,0,6.8,212,32,37,1,1,1,1,0,6.8,187,44
2388,1,12,4,0,3,5,0,0,0,7.0,227,44,24,2,1,2,1,0,7.0,218,52
2389,1,15,13,1,6,8,1,0,0,6.4,182,49,41,1,0,0,0,1,7.2,225,49
2390,1,15,4,0,5,5,1,0,0,7.0,219,43,16,1,1,1,1,0,6.8,164,43
2391,1,16,5,1,6,2,1,0,1,7.2,256,52,15,2,0,0,0,0,6.2,207,40
2392,1,14,1,1,5,8,0,0,0,7.0,214,52,15,2,0,0,0,0,7.0,219,52
2393,1,11,3,0,7,3,0,0,0,7.2,209,36,14,3,1,0,0,0,6.6,225,45
2394,1,19,1,1,8,2,0,0,0,6.8,196,48,14,4,0,1,1,0,6.6,185,60
2395,0,20,3,0,9,8,1,0,0,6.8,201,44,17,3,1,0,0,0,7.0,243,44
2396,1,40,4,1,8,1,1,1,0,7.2,228,76,18,2,0,1,0,0,6.4,208,36
2397,0,16,4,0,7,11,1,1,0,7.0,218,50,13,3,1,0,0,1,6.8,229,34
2398,0,14,3,1,7,10,0,0,0,6.8,184,46,13,2,0,0,0,0,7.2,228,47
2399,0,17,2,1,4,11,1,0,0,7.2,211,56,40,2,0,0,0,0,7.4,215,52
2400,0,42,1,1,7,3,1,0,0,6.6,196,43,19,5,0,0,0,0,6.4,172,57
2401,1,19,3,1,9,6,1,0,0,6.8,191,48,14,0,0,0,0,0,7.0,206,57
2402,1,15,0,0,8,5,0,0,0,7.0,203,65,14,2,1,0,0,0,7.0,212,44
2403,0,11,4,1,6,7,1,1,0,7.0,215,60,15,2,0,1,0,0,7.0,211,42
2404,0,16,2,1,3,4,0,0,0,7.0,241,50,14,3,0,1,0,0,7.0,238,61
2405,1,55,3,1,7,5,0,0,0,7.0,228,56,17,4,0,1,0,0,6.6,215,64
2406,1,17,7,1,4,2,0,0,0,7.2,273,60,16,4,0,0,0,0,7.2,253,68
2407,1,17,2,1,6,3,1,0,0,7.0,249,63,14,6,0,0,0,0,7.0,234,60
2408,1,18,3,0,7,3,1,0,0,7.0,207,64,15,0,1,0,0,0,6.6,190,47
2409,1,25,1,0,5,5,0,0,0,7.2,252,59,75,2,1,0,0,0,7.2,235,52
2410,0,46,4,1,7,4,1,0,0,7.2,205,48,40,4,0,0,0,0,6.6,223,44
2411,0,15,0,0,3,11,1,0,0,6.6,181,60,12,2,1,1,1,1,7.6,240,51
2412,1,12,4,0,7,7,0,0,0,6.8,202,52,28,1,1,2,1,0,7.0,189,53
2413,1,26,1,1,8,1,1,0,0,7.2,182,56,10,3,0,0,0,0,6.4,201,48
2414,0,15,3,0,2,6,1,0,0,7.0,178,55,25,5,1,1,1,1,7.2,260,46
2415,0,15,2,0,1,4,1,0,0,6.8,222,55,15,0,1,0,0,0,7.0,191,61
2416,0,75,1,0,0,7,0,0,0,6.6,214,42,20,5,1,0,0,0,7.0,237,36
2417,1,42,5,1,10,6,2,1,0,7.2,225,53,14,5,0,0,0,0,6.8,184,60
2418,1,12,8,0,3,4,1,1,0,7.0,217,51,21,5,1,1,0,0,6.6,220,44
2419,1,33,2,0,11,7,1,0,1,7.0,198,50,12,1,1,0,0,0,7.0,247,44
2420,1,14,2,0,7,5,1,0,0,6.8,176,59,14,2,1,0,0,0,6.8,216,45
2421,1,24,5,0,3,5,1,0,0,6.6,226,41,38,5,1,1,1,0,6.8,218,47
2422,0,17,2,0,3,8,0,0,0,6.2,167,36,19,0,1,1,0,0,7.4,234,84
2423,1,16,4,1,4,5,1,0,0,7.0,238,56,17,3,0,0,0,0,6.6,224,36
2424,1,18,1,1,1,1,1,1,0,7.0,231,60,39,2,0,1,0,0,6.8,196,60
2425,1,37,5,1,10,7,1,0,0,6.8,188,57,22,1,0,0,0,1,6.6,203,38
2426,1,18,6,0,5,5,2,1,0,7.2,226,68,207,1,1,0,0,0,6.8,243,48
2427,1,15,2,1,11,2,1,0,0,7.2,234,40,14,2,0,0,0,0,6.4,211,50
2428,0,14,2,0,1,6,0,0,0,6.8,206,52,55,3,1,1,0,0,7.2,237,52
2429,1,19,3,1,10,5,2,1,0,7.0,247,51,14,5,0,0,0,0,6.4,194,24
2430,1,50,2,1,3,4,0,0,0,6.4,189,56,15,0,0,1,0,0,7.0,210,64
2431,1,16,2,1,13,8,1,1,2,7.4,242,62,10,2,0,0,0,0,6.8,214,58
2432,0,15,2,1,5,2,1,0,0,7.0,243,47,19,2,0,0,0,0,6.8,233,51
2433,0,14,3,0,6,5,2,1,0,7.2,231,46,16,0,1,0,0,0,7.0,223,44
2434,0,18,3,1,3,5,1,1,0,6.8,216,65,29,5,0,1,0,0,7.0,236,40
2435,0,18,2,1,4,8,0,0,0,6.4,216,35,14,5,0,1,0,0,7.2,216,64
2436,0,13,0,1,7,8,0,0,0,7.0,201,60,14,2,0,2,1,0,7.0,228,52
2437,0,14,5,0,1,5,0,0,0,6.6,180,68,15,2,1,2,1,0,7.2,226,60
2438,0,18,4,1,4,5,1,1,0,6.6,222,40,19,3,0,1,0,0,6.4,199,51
2439,0,18,6,0,4,6,0,0,0,7.0,227,56,18,4,1,2,1,0,7.2,256,72
2440,1,77,3,0,5,6,0,0,0,7.0,223,59,52,3,1,1,0,0,7.0,236,68
2441,1,14,4,0,9,8,0,0,0,6.8,190,33,14,1,1,1,1,0,6.8,186,51
2442,1,48,5,0,6,3,1,0,0,7.6,246,68,19,1,1,0,0,0,7.0,213,55
2443,0,56,3,1,8,6,0,0,0,6.4,205,56,17,4,0,1,0,0,6.6,218,35
2444,1,24,3,0,12,8,1,0,0,6.8,202,39,18,1,1,0,0,0,6.6,218,38
2445,1,15,7,1,8,4,1,1,0,7.4,237,49,16,4,0,0,0,0,6.6,224,48
2446,0,42,5,1,10,5,0,0,0,7.2,247,55,18,2,0,2,1,0,6.6,209,56
2447,1,12,2,1,6,2,1,1,0,7.0,234,56,15,2,0,1,0,0,6.8,240,48
2448,0,12,3,1,4,5,0,0,0,6.6,211,32,19,1,0,1,1,1,7.2,255,51
2449,1,18,3,0,2,8,0,0,0,6.6,224,53,20,2,1,0,0,0,6.8,162,44
2450,1,18,3,1,14,5,1,0,0,7.6,250,68,18,4,0,0,0,0,6.8,215,48
2451,1,18,6,0,4,6,0,0,0,6.8,249,43,22,3,1,1,0,0,6.8,240,52
2452,1,15,4,0,4,4,1,0,0,7.0,210,68,14,3,1,1,1,0,6.8,232,56
2453,1,23,2,1,6,3,0,0,0,7.0,195,44,37,2,0,0,0,0,6.4,202,44
2454,0,22,0,0,2,5,0,0,0,6.6,210,67,13,0,1,0,0,0,6.8,223,57
2455,0,17,3,0,6,14,0,0,0,6.6,194,41,15,3,1,0,0,0,7.0,186,56
2456,0,54,2,1,7,3,0,0,0,7.2,227,44,14,1,0,0,0,0,6.8,209,60
2457,1,41,2,0,4,4,1,0,0,6.8,187,50,59,5,1,0,0,0,7.0,248,44
2458,1,16,2,0,8,8,1,0,0,7.0,220,60,15,2,1,1,1,0,6.8,225,56
2459,0,18,6,1,4,3,1,0,0,7.0,235,39,21,3,0,0,0,0,6.8,203,48
2460,0,15,1,1,3,6,1,0,0,6.4,230,52,39,1,0,0,0,0,7.0,231,44
2461,1,18,5,1,10,2,2,1,0,7.0,257,44,19,4,0,0,0,0,6.2,197,52
2462,1,17,8,1,7,4,1,1,2,7.2,246,53,17,1,0,1,0,0,6.2,154,45
2463,1,14,2,1,7,6,1,1,1,6.8,207,48,16,4,0,1,0,0,6.6,185,48
2464,0,15,1,0,4,5,1,0,0,7.0,219,52,52,1,1,0,0,0,7.2,213,59
2465,1,18,2,1,4,5,1,0,0,6.8,222,56,17,0,0,0,0,0,7.0,201,44
2466,0,17,3,1,9,6,0,0,0,7.2,226,54,80,2,0,1,1,0,7.2,239,40
2467,0,18,3,0,8,10,1,0,0,6.8,193,52,14,4,1,0,0,0,7.2,215,51
2468,0,16,1,1,2,5,0,0,0,7.0,223,63,18,2,0,2,1,0,6.8,210,52
2469,0,15,2,0,5,5,0,0,0,6.8,199,40,17,1,1,1,1,0,7.0,258,52
2470,0,16,4,0,1,3,1,1,0,7.0,244,48,14,3,1,1,0,0,6.6,217,60
2471,0,19,1,0,9,10,1,0,0,7.2,200,44,18,3,1,0,0,0,7.2,217,43
2472,0,15,3,0,1,9,0,0,0,6.8,225,56,35,5,1,1,0,0,7.4,243,70
2473,1,37,3,1,6,4,0,0,0,7.0,258,64,11,2,0,1,0,0,7.0,236,50
2474,1,14,2,1,6,9,0,0,0,6.8,229,60,34,1,0,1,1,0,7.8,193,75
2475,1,18,3,0,12,5,0,0,0,6.8,208,35,33,1,1,1,0,0,6.8,188,61
2476,1,17,2,1,6,5,1,0,0,6.8,176,60,17,2,0,1,1,0,7.0,263,60
